"as.numeric.rownames.extract_questions.mydata.question...","extract_questions.mydata.question..text"
1203,"Should I be taking computer science courses and multivariate calculus in preparation for your applying to your program?"
1214,"Also, I ordered a copy of official GRE score report from ETS to the program, I was wondering whether it has been received?"
1230,"Would you please help me to check it?"
1265,"Can I ask when admission decision will be listed?"
1270,"What is the average number of applicants that applies yearly?"
1271,"I would very much like to be part of the MSiA class of 2016, so my question is how do I best stand out in the upcoming application?"
1284,"Is it possible to take up a job while attending the courses?"
1291,"Can you pls share last 2 years placement statistics?"
1296,"Hello, What are the entrance statistics like ie how many people apply each year, what is the average GPA for those that are admitted, what is the average GRE and GMAT scores?"
1297,"When you look at GPA, do you look at the degree GPA or overall GPA for all classes taken during university?"
1298,"How long has this program been around?"
1299,"Do you have any statistics on graduates for things like how many find employment and where?"
1330,"Thanks & Regards Rahul Chatterjee ?"
1335,"May I know how many admissions will you offer and around when would the decisions be made?"
1336,"In addition, may I know the proportion of international students in the program?"
1369,"Do I also need to request ETS to send the official score card ?"
1376,"Could you please let me know if I could be treated as an eligible candidate for application?"
1379,"Is it possible that my application will be reviewed if I submit it right now since I've missed the deadline?"
1394,"Any chance that I can still send my application?"
1409,"Respected sir/Madam, Do you have my official GRE score ?"
1415,"Could you inform me of my application status?"
1423,"I wonder whether my application will still be reviewed in priority?"
1426,"My profile information is as below: Surname: Xia Given name: Yawei Birth date: 12/21/1991 -- ?"
1441,"Can you check and see what's going on?"
1456,"Thanks and Regards, Rahul Chatterjee ?"
1464,"Best Regards Shuo-Ying Pu 2014-02-18 13:59 GMT+10:00?"
1472,"Could you check the problem, please?"
1484,"Xi Wei 2014-02-17 14:37 GMT+08:00?"
1495,"Could you please help to check the issue?"
1503,"Can you please confirm that my application was received without a problem and that it is currently being reviewed?"
1527,"Can I send my official GRE grade in two weeks?"
1533,"Can I submit the recommendation after Feb 15th?"
1536,"May I submit a request to ask her email directly to you in order to complete my materials?"
1538,"Is there any problem with my payment?"
1539,"Do I need to do something else?"
1545,"My application information is as follows: Surname: Xia Given name: Yawei Birth of date: 12/21/1991 Best, Yawei -- ?"
1570,"Is there anyway that I can still pay the fees and be considered for the fall 2014 program?"
1576,"Can you please confirm if the deadline is end of the day on 15th February or any particular time on 15th February?"
1579,"Are you maybe still in the process of uploading it?"
1596,"On the other hand, can you tell me how can I log in my account to check my status after submit the application?"
1609,"Could you please kindly check on that?"
1614,"Can I apply to both MSiA and Ms in CS since they seem to be in two application systems?"
1615,"The Graduate School allows only 1 application at a term but is MSiA under the Graduate School?"
1620,"How can we work around this?"
1632,"Is there any way by which I could submit one additional recommendation?"
1645,"Is it possible to submit my application before the recommendation comes in, and then the recommendation letter can follow later?"
1646,"I understand that my application will not be reviewed until all application materials are received, but can I submit the application with the missing recommendation letter in order to meet the deadline?"
1650,"Victoria, Did you receive missing recommendation yet?"
1651,"If not so, what I need to do at this time?"
1654,"Is there any way that I could submit my materials to you today or tomorrow?"
1657,"Do I also need to request ETS to send the official score card ?"
1669,"I just want to know if this is fine or is there something that went wrong?"
1720,"Could you check the problem, please?"
1731,"I know tomorrow is after the deadline, I am thinking about could you please let me to pay it later?"
1740,"I am wondering is it possible that allow my referees to upload the file after they return to work?"
1744,"Is it necessary for me to send an official TOEFL score report from ETS?"
1772,"Is there anyway for me to resend the link or for him to submit the letter via email?"
1794,"I'm not sure if I submitted 2 or 3 recommendation letters, but could you check again?"
1811,"Is there anyway to know that if he had submitted the recommendation?"
1812,"If not, is it possible for him to submit it after the deadline?"
1826,"What do you recommend that I do?"
1829,"Would it work if I were to arrange for a new academic reference to submit one prior to the 11:59pm deadline?"
1846,"Could you confirm me if it works?"
1851,"Does this mean that I have already submitted the application?"
1853,"Can you help me to check that whether I have submitted the application or not?"
1854,"If not, where should I go to find the submit button?"
1857,"Would it be all right if I submitted his letter by Monday?"
1870,"Richmond, How are you?"
1874,"I wonder if there is any chance that they can still submit the recommendations for me on Monday the latest?"
1879,"Will my Apllication be considered even in that case?"
1883,"In the unlikely event that he does miss the deadline, is there any flexibility with the application?"
1885,"Should I mail the tuition deposit to the McCormick School of Engineering, or is there a specific address for the MSiA program?"
1887,"Is it possible to get one more day extension or can i change the reference?"
1891,"Dear Team, Are the official score reports for GMAT and TOEFL scores mandatory before the admission decision?"
1892,"If it is required, What is the GMAT code to send official score?"
1903,"Will this be sufficient ?"
1905,"Do i have to mail the transcripts via POST?"
1909,"- So do i have to report scores through ETS for GRE & TOEFL ?"
1911,"Can he send the recommendation letter within next week?"
1931,"I do apologize for the delay and want to ask if there is anything I can do now to help?"
1945,"How will it affect my application?"
1956,"Is it ok if they are filled out in the next few days?"
1957,"Also, if the one who has not replied to me cannot fill this out, can I replace her with a different referee?"
1958,"Lastly, I noticed that you do not require official GRE scores, but I remember including my GRE scores on the application and just realized that those were older than 5 years - should I include my newer scores for the application to be considered?"
1959,"Dear LS: you keep pestering me but the letter is uploaded already, says your own website?"
1971,"I was wondering if there was any way to ensure that the proper documents have been received?"
1977,"If you have his cellphone number, could you please text him or make a short call and ask him to check his email?"
1981,"When filling the general application form, I have question about what I should put under the academic program option?"
1985,"Can you please tell me by when should these documents be sent to University office ?"
1996,"Hi Victoria, Can my recommendations be submitted post deadline ?"
2013,"Could you please check it?"
2019,"Could you please find the attached file of my application files again?"
2023,"Yours sincerely, Lan Ma from Beijing China ------------------ ?"
2049,"Could you help me to check it?"
2052,"It is not required but does it mean it will more advantageous if I provided one or no differences ?"
2055,"Can I choose which test date I report?"
2062,"Do I need to request ETS to send the official score card ?"
2078,"Can you please confirm?"
2082,"Hi, Is it OK if my Recommendation letters are late by a day or two?"
2092,"Is there anything else I can do about this?"
2102,"Could you please help me move my application into the complete file?"
2113,"Dear Victoria: How are you doing?"
2139,"Best regards, Yours sincerely, Lan ________________________________ ?"
2159,"com/cgi-bin/ftnExs_download?"
2162,"- Is there an option to take additional management classes as part of this degree program, or to adopt more of a management focus through the practicum and internship?"
2163,"- Do all references have to be academic?"
2166,"- While the GRE scores are not required, if I do submit them does it have to be sent officially from the GREs, or will an unofficial score qualify?"
2171,"Does this mean that the analytics program has them in my file and I don't need to do anything else?"
2184,"Should I retake them and send you the new scores?"
2193,"And could you please add this information to my application file?"
2199,"I would like to know if this is an acceptable combination ?"
2203,"Are there options to attend this program on a part time, night school, or online fashion?"
2208,"Are decisions announced on the same day for all candidates?"
2209,"Or is it possible that the candidate will be notified earlier if selected?"
2239,"Could you please let me know, if the transcript has been received?"
2241,"I wanted to know if I can email you scanned copy of my official transcript - undergraduate degree for the application review process?"
2255,"Can I still continue with the application process?"
2256,"Will my application be considered without the Toefl scores?"
2257,"Will this weaken my application?"
2261,"Is it okay for me to provide one academic and two professional recommendations for my application?"
2266,"Will it be removed from the application from my side as well?"
2268,"Will the admissions committee give my application full consideration as well?"
2274,"Can I go ahead and apply for the program and you will still consider my application?"
2282,"Best, Qiaoling On 2014?"
2287,"Is the address correct, and can you check whether it was sent to the department please?"
2301,"I am wondering whether I should still select F1 student in the application system or is there any other choices for me to elucidate my current status?"
2305,"Will my application be reviewed if I submit by the deadline and the third recommendation arrives on Monday?"
2308,"It would be great if you could let me know if the deadline to submit the recommendations is 15th of February as well?"
2312,"So I still have to send out my official transcript to school, is that correct?"
2313,"Or I will wait to do so until the admission status changes?"
2322,"Is it ok if the recommender fills the recommendation later?"
2330,"Even after these many years of work experience, will the institute be very stringent on GPA criteria?"
2339,"Would you please advise what is the best way to send the reference letter?"
2343,"Would you please help me to double check it?"
2348,"Could you please look into it or let me know what I should do?"
2349,"Also, is just the scanned copy of the transcript enough or should an attested original be sent at this time?"
2367,"Can I still apply for the course beginning in Fall 2014?"
2368,"Can I apply without a GRE/GMAT score?"
2370,"Does the university accept IELTS scores?"
2371,"Can you let me know of any prerequisites before I can apply?"
2391,"How do i check if my recommender has submitted the recommendation or not in the status page ?"
2393,"Is there any possibility to change my recommender as i am not able to reach out to him ?"
2404,"Do you need me to create separate documents for each institution?"
2410,"In case they are released after Feb 15th, can I email the scores as soon as they become available?"
2429,"Best regards, Yours sincerely, Lan Ma from Beijing China ------------------ ?"
2439,"Please let me know if the scores can received after 15th February ?"
2441,"I checked the status and found out there are two transcripts from U of Rochester, so would you delete the old one for me?"
2445,"Is this deadline absolute or is a bit of flexibility allowed?"
2450,"The SOP question has three parts: * Why are you applying to the Master of Science in Analytics at Northwestern University?"
2452,"* What skills or abilities do you hope to strengthen in the program?"
2453,"* Describe a trend that will influence analytics over the next 5 years?"
2489,"So may I use my transcript as a proof for the TOEFL waiver?"
2491,"Regards, Guanqing ________________________________ ?"
2504,"That being said - and recognizing that not all of these will be feasible - information or advice on any of the following fronts would be greatly appreciated: --Where on campus is the MSA program and the bulk of its classes situated?"
2505,"--Would it be possible to sit in on one of the 2014 cohort classes, to get a sense of how classes are conducted?"
2506,"--Would it be possible to pass my contact information onto a current student?"
2510,"Do I need to have these scores resubmitted, or is there a way to have my original report retrieved?"
2532,"Best regards, Yours sincerely, Lan Ma from Beijing China ------------------ ?"
2568,"If one of my letters of recommendation is delayed, would my file be considered late, even if all other materials are on time?"
2570,"I can include another letter just to make sure that 3 are received on time, and the 4th one will arrive later - would this be a better scenario?"
2572,"Can you confirm whether the official copies of my gmat and toefl scores have been received by the program?"
2596,"Hello, Diane, Even if the application comes from a Science Without Borders/Fulbright partnership?"
2599,"Is this not the case on your side?"
2614,"Also do recommendors have to submit the letter before the 15th of Feb or do they have a different deadline?"
2615,"And can I upload the scanned copy of GMAT score for application review process or is official report from GMAC mandatory?"
2631,"How can I submit my score after submitting an application online?"
2635,"Does it mean that I can apply for this course?"
2636,"How can I send unofficial transcripts so an initial review?"
2646,"Is there a problem with that?"
2647,"Can I send a picture of the results while the official ones arrive?"
2651,"site says letter uploaded already?"
2678,"Dear Admission Officer: I emailed you my transcript and other application files the other day, could you please see if my application is alright?"
2683,"Could you please help me with my application?"
2698,"Do I have to send official transcripts in addition to the unofficial ones I have already sent via email?"
2707,"I am still waiting for my TOEFL score, Can it be excluded for a while till I get my score?"
2717,"But should I submit any waiver form?"
2718,"Or you could waive that for me?"
2727,"Is there any problem?"
2728,"Did I uploaded my PS successfully?"
2733,"I do have one more question: is there an opportunity to submit additional application materials?"
2739,"What are the percentage of students who have been placed last year after doing this program from your university and what are the admission criteria?"
2745,"would you be able to retrieve my official report that way?"
2747,"One of my recommenders was sick, and he just told me he probably cannot finish the recommendation letter, so can I just add a new person to the Alternate Reference list?"
2748,"And whether he will be replaced by the new one?"
2755,"My Degree certificate and Proof of Language are uploaded under other document category?"
2761,"Hi, I was finishing my application for the Masters program and was curious to know as to where and how should I send my college mark sheets?"
2762,"Should I scan all of them and mail them to you as a single PDF document?"
2763,"If so on which email address should i send them?"
2772,"Could you please check my application materials?"
2778,"Lan ________________________________ ?"
2798,"com/cgi-bin/ftnExs_download?"
2809,"com/cgi-bin/ftnExs_download?"
2820,"com/cgi-bin/ftnExs_download?"
2831,"com/cgi-bin/ftnExs_download?"
2833,"Do I still have to provide IELTS score for my application?"
2835,"5 on 06/09/2012, which is a little bit longer than two years bythe date of matriculation, while there is not enough time for me to retake IELTS before the application dead, could I submit this score temporary and retake a IELTS later on?"
2838,"Do i need to send them again or an Online submission i sufficient?"
2847,"Could you please take care of my application files?"
2852,"8 Dong Da Jie, Fengtai District, Beijing,100071, China ------------------ ?"
2859,"Dear admission department, Does the program have any TOEFL minimum requirement for international students?"
2875,"I would greatly appreciate it if you could have it updated or put a note on there just to clarify the situation?"
2904,"Do I need to mail official transcripts to your program before the application deadline or they will be requested by matriculation?"
2910,"Do I need to wait for my recommendation letter designators to complete the letters first before I submit my application electronically?"
2911,"Or can I submit my app in advance?"
2932,"Master of Science in Information System s - Summer -2014 Specialization in Business Intelligence and Analytics Can I apply to both programs ?"
2942,"Could I mail the official sealed transcript myself instead of from the university?"
2946,"Hello Victoria, May I ask whether an interview is needed before the admission decision?"
2948,"Is there an alternative way in completing the letter of recommendation is it adequate to send the letter to the admission email only?"
2961,"I was wondering if I may submit another reference letter ?"
2963,"If I provide an additional name, will the system remove the letters that I have already submitted?"
2968,"Do you know why this happen?"
2976,"Could you please guide me in this regard?"
2994,"Since it was over 7 years back, I was wondering that can my CGPA still act as a deterrent to my application?"
2995,"Can you please suggest that with this CGPA should I apply or not?"
2997,"Financial Aid - Being an international student, will I be eligible for loan from US banks?"
2998,"If yes, would I be required to provide any collateral for the same?"
3000,"TOEFL - My engineering course was taught in English, can I get waiver for TOEFL as mentioned on the website?"
3002,"OPT Will I be eligible for OPT after the course?"
3010,"Is it OK if I send it via ETS?"
3013,"Hello, Do I need to order official score reports of GRE and TOEFL scores on ETS to sent to you before the Feb 15th deadline?"
3014,"Or can I send unofficial copies through email?"
3024,"If I submit a sealed, official copy of a transcript through mail, do I still need to scan the transcript and submit it through email?"
3025,"Likewise, if I send a copy of my GRE scores to Northwestern U MS Analytics through the GRE website, do I also need to scan a copy and submit it through email?"
3028,"Also, do I need to send my official GRE before the admission decision?"
3034,"Can you please update me as to, by when we will get the admission notifications?"
3047,"I had a couple of questions, is there a point of contact I would be able to speak with?"
3052,"Is it possible for the receipt of the document to be confirmed?"
3058,"I was wondering if it was required to send in official copies of transcripts from our undergraduate institution?"
3060,"Also, would we only need to send official GRE scores if we are admitted to the program?"
3061,"Or will an official report ever be required of us?"
3065,"Do I submit that with my online application?"
3067,"Or do I submit that when I am admitted by the program and applying for a student visa?"
3073,"Could you please check and update the info for me?"
3077,"Can you please help me with a few more queries?"
3078,"Do we get any fellowships/scholarships covering part of the fees?"
3079,"Do we need to send the original transcripts too before the deadline of February 15, 2014 or will the scanned copies do for starting the application?"
3106,"Is the degree available through distance learning?"
3108,"Must all students be full-time?"
3110,"What is the cost per credit hour for this degree?"
3119,"But I am slightly unsure about the following: TOEFL: Will be waived this requirement based on my Masters Finance degree from Boston College, USA?"
3132,"Should I send the report with the highest quantitative score,or the one with the highest total score, or both?"
3133,"Best regards, Jingi Mei ________________________________ ?"
3145,"Dear Victoria, Should I upload the transcript of my online course as well?"
3157,"Can I apply to both MSiA and Ms in CS since they seem to be in two application systems?"
3158,"The Graduate School allows only 1 application at a term but is MSiA under the Graduate School?"
3163,"Is there anything that can be done about this now?"
3166,"Can you help me to confirm?"
3170,"Hello Victoria Following up on my question from a few months ago, during which timeframe are you planning to hold interviews with finalist candidates?"
3171,"Based on your earlier email, Im assuming mid-February through mid-March?"
3180,"Can I send you the screenshot of the score report on ETS website instead?"
3182,"That way, do I need to notify you or you will automatically fetch the scores?"
3193,"Can I mail it by myself?"
3201,"Does the 500 word limit for SOP include answers to all the questions ?"
3202,"Or is it the length for answers of individual questions ?"
3209,"Will there be any additional information session before the application deadline?"
3211,"Is it possible for me to visit the campus and may be even attend a class?"
3239,"How long would it take to reach a decision?"
3241,"And I have another question,when should I send official, sealed transcripts to you?"
3242,"Now or before matriculation?"
3244,"I was wondering which address should I use in sending IELTS Test Report Form?"
3247,"Am I also required to mail official transcripts to your office by Feb 15th ?"
3249,"Am I also required to mail official transcripts to you by Feb 15th ?"
3252,"Should i mail the evaluated transcripts from WES too?"
3257,"Can I receive a TOEFL waiver in this case?"
3263,"Is this acceptable if other conditions I submitted meet the standard of the program?"
3271,"Qs 1 ) GRE & TOEFL score requirements/ cut-offs, ?"
3291,"Can you please let me know if the application is complete or if there is anything pending from my end?"
3292,"Also, is the TOEFL score required for my application?"
3305,"Can I please report my TOEFL score instead of providing a University acknowledgement that English is my language of instruction?"
3315,"Dear officer, I wonder if the program has minimum TOEFL requirement for the application?"
3316,"And can one with above 5 year working experience apply to this program?"
3319,"Is this due to processing time?"
3328,"do you mean by college?"
3344,"I have a mundane question: when does the program begin?"
3346,"Also, will there be any additional information sessions?"
3347,"Or, may I speak to someone in the program office about coming to Chicago to visit the department?"
3348,"Hi, May I please get the Fee structure for the Master of Science in Analytics?"
3352,"Would it be possible to arrange a quick meeting tomorrow, January 24th?"
3368,"So is it enough to upload a PDF of my score report on the application system or should i ask ETS to send it to your department?"
3373,"I've received my score in terms of percentage, so does northwestern university have a scale to convert scores given in percentage to GPA?"
3375,"Good evening, Victoria, I am emailing to confirm with you that I do not have to arrange my official transcript to be mailed out from my undergraduate institution to Northwestern for application, correct?"
3382,"I am wondering if I need to submit my TOEFL score for the application?"
3392,"Are there projects/researches in industries to participate while a MS in Engineering Management student, cooperating with other professors/researchers?"
3398,"Will you help me look at it?"
3405,"First, do you have a GRE school code that can be used to send the scores?"
3408,"Is this an acceptable blend of letters?"
3411,"Hi, I'm applying to your Masters in Analytics program and I'm wondering what do you mean by emailing the official GRE scores to you?"
3412,"Is it the same as requesting ETS to send a score report to you or do you simply need a copy of the scores?"
3418,"Is that ok for me to just send it to you through this email?"
3429,"Do you require IELTS to report it directly to you?"
3434,"When could I get aware of my application result?"
3436,"Hello, Could you please advise me on my above questions at your earliest convenience?"
3457,"I graduated with Business Administration from Hong Kong, where English is the primary language of instruction, in that case do I have to provide IELTS scores?"
3459,"Are there any pre-requisite for this program?"
3461,"I am a green card holder, what sort of financial support are available?"
3463,"I will have my GRE examination on Feb 1, while the official scores may come later than Feb 15, can I submit my unofficial score first?"
3464,"and provide the official score a week after feb 15?"
3482,"Another question is if I cannot solicit an official transcript from the university I study abroad, would a World Evaluation Services evaluation report is enough for application?"
3483,"And what is the GRE code for your program?"
3486,"Is there any aid available?"
3487,"I have a strong teaching and research background in Economics, are there perhaps any teaching or research assistant positions available?"
3489,"I wonder do I need to mail my transcripts to your office?"
3491,"If It is possible for me to upload, where shall I upload it?"
3496,"What all information should I share when I mail the transcripts?"
3498,"Do you mean a copy of the official score reports?"
3500,"Hi, I am Siddharth and have started my application for the Master of Science in Analytics program, Kindly confirm if the program excepts a student with a 3 year bachelor degree ?"
3503,"May I ask what is best time to apply for any fellowship offered by department or graduate school ?"
3504,"Do we need to apply earlier or we need to wait until we receive final decision of the program application ?"
3521,"Should I request an official score and send it to you as well?"
3523,"Should I mail official transcripts before Feb 15?"
3524,"Or I can mail the official ones after being admitted?"
3526,"How many applicants for Fall 2013 and how many are admitted?"
3527,"Among the admitted students, how many percentage received scholarship?"
3533,"And do you accept mailing recommendation letter?"
3535,"Since I have several major courses that might be related to this program, I am wondering whether I should email an certificate of courses I would have in the 2013-2014 academic year along with my transcripts to you?"
3541,"so am I eligible for apply or not?"
3558,"Can I go ahead and mark the application complete now or should I wait until I receive confirmation that you've received the other materials?"
3579,"Is it possible for him to write a regular recommendation letter in Spanish?"
3582,"However, before I begin my application would you please let me know if my GPA would likely be appropriate for successful entry into the program?"
3585,"Can you please clarify those for me?"
3627,"May I know the minimum TOEFL score requirement for Masters in Analytics progam for Fall 2014 ?"
3628,"Also could you please tell, what documents need to be mailed ?"
3641,"Is this acceptable if other conditions I submitted meet the standard of the program?"
3648,"Would it be possible to visit the campus and talk to someone on the admissions staff about this program ?"
3654,"Since, I have been out of school for a long time now, would it not be good for me to submit a mix of academic and professional recommendations?"
3658,"As the program duration is 15 months, what will be the total tuition cost?"
3659,"Will it be $ 15,038 x 3 OR $ 15,038 x 4 ?"
3660,"Apart from that, do I stand a good chance to earn a scholarship?"
3668,"Which program that I need to choose?"
3673,"Can you please confirm that you have received my transcript and also update the checklist on my application portal?"
3695,"Could you please check it for me?"
3703,"Does this count still?"
3707,"Do I still need to take a college-level comp sci course?"
3710,"Does this course typically have prerequisites?"
3713,"If so, is this something that I can take after being admitted to the program?"
3714,"Are there typically prereqs for linear algebra?"
3716,"Is this within range?"
3717,"What should I do to prepare for the upcoming applications?"
3718,"What do you think I need to become a viable candidate?"
3720,"What is the last date for submitting this ?"
3753,"What job title does MSiA graduates usually acquire?"
3761,"Is there any time that I could come in to consult about my chances of entering the Master's program in Analytics?"
3766,"Could you please upload those scores as well into your database?"
3768,"Could you please confirm?"
3771,"Hi, What are the prerequisites for the program Master of Science in Analytics?"
