,sent,freq
197, I apologize for the confusion by the email,2
198, After you submit your application an auto generated email is sent to acknowledge your submission and remind you of additional materials which need to be submitted before your application is complete,2
199," Currently, you application is completed with letters of reference, transcripts, and your application fee",2
202,Dear Sumeet; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
203," Unfortunately, we cannot accept any additional materials after Feb 15th",2
204," We have a very small window of time for our reviewers to evaluate applicants before they are provided offer letters, therefore we will be creating student applicant packets for completed applications directly after the 15th",2
205, Your application is complete without you sitting for the GMAT,2
206," In regards to your question concerning your transcripts from India, we do not require official transcripts until after you have been admitted to the program",2
207,"Dear Priya, Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
208," To answer your question, we have received your application fee",2
209, We use a third party to collect our application fees and there is a delay between the two systems,2
210, We do not update the student checklists until the Monday of each week,2
211, I have manually adjusted your account to show that you have paid,2
212, In regards to your TOEFL score,2
213, I cannot find it in our office/records,2
214, We are also missing your Transcript,2
215, Please check your records and confirm that you have sent your TOEFL to 3144,2
216," In the meantime, due to the fast approaching deadline, please submit scanned PDF copies of your transcript and TOEFL scores",2
217, I will add these to your application to complete it,2
218, (A PDF of your online ETS report will suffice),2
219,"Dear, Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
221," Have a wonderful weekend, Victoria L",2
222,"Dear Anqi, Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
223,Dear Anqi: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
224," To answer your question concerning Letters of Recommendation, the chart breakdown for recommendation letters is a suggestion",2
225, We encourage you to provide recommenders who can speak best about your abilities,2
226, We look for recommenders who can provide us with a picture of the type of student you are and how you can succeed in our program,2
227, If this break down will work for you then I encourage you to use 2 academic and 1 industry contact for recommendations,2
248,edu/prospective-students/tuition-and-fees,2
262,Dear Mengchun; I apologize for our delayed response time,2
263, Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
264," For ease of processing, please label your files in the following format, FirstName-LastName-InstitutionName eg: Sally-Smith-UniversityofSydney All pages of the transcript should be scanned",2
265, Please ensure they are legible,2
266," If your transcripts are not in English, please send a copy in the original language and a certified translation",2
283,Dear Geng; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
284," Due to the approaching deadline of Feb 15th, I encourage you to scan us a PDF of your resume",2
285, I will upload it into our MAP system on your behalf and send you a confirmation after it has been loaded,2
286, At that point you can check your checklist for any other additional materials that may need to be submitted,2
291,Dear Govind; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
292, To answer your questions please see below: 1,2
293, We only require official transcripts after you have been admitted into the program,2
294, We ask for a scanned copy of your transcript,2
295, As we get closer to the deadline (Feb 15th) it would be faster for you to scan and email this account with your unofficial transcript,2
296," In regards to your GMAT score, we ask for you to email your copy of the GMAT scores",2
297, We do not have a specific code for the MS in Analytics program within Northwestern,2
298,Dear Govind: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
299, To answer your questions concerning GPA please see the following information: 1,2
300, We have our own conversion for GPAs taken out of a 10point scale,2
301, 37% of our students are international and a great deal of our applicants are from India,2
302, We ask that you keep your GPA and transcript in the original form and we will handle the conversion to our 4,2
303,0 scale,2
304," Yes, unfortunately the 3",2
305,0 requirement is a cut off,2
306, We maintain a highly competitive program and receive many applications each year,2
307, One of our benchmarks is the 3,2
308,0 requirement,2
310, From: Govind G Nair ,2
347, Happy New Years and Good Luck in 2014,2
356,Dear Yuan; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
357," To answer your questions concerning additional materials, please send us scanned copies via PDF to this website",2
358," I will update your account with these materials (transcript, GRE, and TOEFL reports)",2
359, We only require your official transcript as a hard copy after you have been accepted into the program,2
360,Dear Meghna; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
361, I apologize for the delay in our response time,2
362," To answer your questions, you may mail your official transcript to our office",2
363, We also accept scanned copies of your transcript,2
364," We will require an official transcript if you are accepted to our program, but with regards to the application process, we will accept your scanned transcript",2
365," Our TOEFL code is 3144, we do not have a code for the GRE",2
366, We will accept scanned copies of your GRE report and your TOEFL score,2
367,Dear Yifan: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
368," To answer your question, we accept scanned copies of your transcript",2
369, You do not need to send us an official transcript from your University,2
370, You can send us the PDF to this email address,2
390," Please let me know if you have any remaining questions, Victoria L",2
415,"Hello Vanessa, Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
416," To answer your question, we only ask for a scanned copy of your transcript be sent to this email address",2
417, I will upload it into our application system,2
418, Upon acceptance to this program you will need to send the official transcript from your University in order to matriculate into our system,2
422,Dear Vanessa; Thank you for submitting your transcripts to the Master of Science in Analytics at Northwestern University,2
440,edu -----Original Message----- From: Liu Ziyi ,2
444, Please let me know if you have any other questions,2
469,Dear Jia: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
470," To answer your question, we only require a TOEFL or IELTS for international applicants who have not had English as their primary language of instruction, so, you would not be required to submit scores",2
471, Your undergraduate degree from a US Institution will waive the English Proficiency test requirement,2
472, From: JIA XIAO ,2
489,Dear Fan: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
490, To answer your questions: 1,2
491," We do not have any strict prerequisite courses, but we look for you to have taken calculus and statistics courses",2
492, We are more focused on the quantitative background when we are evaluating transcripts,2
493," In terms of computer science backgrounds, we provide a 2 week boot camp training session before our academic calendar begins",2
494," This boot camp brings in industry trainers from SQL, Cognos, SPSS, SAS, and Tableau to train our students",2
495, Some accepted students will enter the program with a background in Java and Python but it is not a requirement for applying,2
496, I encourage you to supply your UNM transcript,2
497, You can list it as a separate education experience in the online application,2
498," When you do so, it will allow me to upload your transcript under the correct heading, as opposed to uploading it as other 3",2
499, Your decision to take online courses in Coursera should be included in your resume or CV,2
500, Many accepted students went that route to strengthen their application,2
501, Any certification of your knowledge will help make you stand out against other applicants,2
502, From: Fan Xiao ,2
513,Dear Aditi: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
514, To answer your question we primarily will evaluate candidates based on their quantitative background,2
515, I see you have Statistics and Calculus on your transcripts,2
516, Those are some of the key classes we look at to evaluate our applicants with,2
517, We do not expect you to have experience in programing,2
518," We provide a two-week boot camp where we have industry partners from SAS, SQL, tableau, etc",2
519, come to campus for full-day instruction and informational sessions,2
520, You are not required to have a mastery of these programs prior to entering the MSiA program,2
521, We also include classes such as java as a foundation course in the first quarter,2
522, From: aditi viswanath ,2
574,Dear Saurabh: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,2
575, Master of Science in Analytics degree from the McCormick School of Engineering and Applied Science is uniquely suited for either graduating seniors or individuals with industry experience who wish to prepare themselves for the demands of the 21st century job market,2
576, Either the GRE or GMAT test score is required for admission,2
577," Admissions for this program is very competitive, we do receive a lot of talented applicants, so industry experience, strong test scores, recommendations (a minimum of 3), and GPA are all taken into consideration",2
578, Please click here <http://www,2
579,edu/prospective-students/materials,2
580,html> to go to our application check list,2
581, For more information regarding our specific application requirements I encourage you to explore our program website at http://www,2
582,edu/ and keep in touch on twitter ,2
1,Dear Hao: I apologize for the delay in our response to your question,1
2," We had hopes of receiving a GRE code sooner, but were delayed in the process",1
42,edu -----Original Message----- From: Alice Li ,1
43,Hello Alice: If that is the way your University prefers to handle transcripts we entirely understand,1
44, If you could mail us the transcript in an envelope (such as FedEx or DHL) sealed then that is acceptable to our program,1
45," However, for your application you only need to submit scanned transcripts from your university",1
46, You do not need to submit the original documents unless youre admitted to the program,1
47, If it is easier for you to email me a scanned copy do not feel pressured to mail us the originals,1
48," I hope this answers your question, please let me know if I can be of further assistance",1
50,edu/> From: Alice Li ,1
51,edu -----Original Message----- From: AliceLi ,1
52,Dear Wenxiao; We require an electronic copy our your transcript for the application process,1
53, After you have been accepted to the program we will ask for your official sealed transcript,1
54," Please send us a PDF copy of your GRE score, or send your score report via ETS at 3672",1
55,Dear Jingwei; Thank you for submitting your transcript and additional materials to the Master of Science in Analytics at Northwestern University,1
70,"Hello Ruijing, I apologize I missed your question regarding the diplomas",1
71, We only require official transcripts to matriculate you into the Northwestern University System,1
72, We do not require your diplomas,1
73, Please let me know if you have any additional questions or if you require any assistance,1
74," Warm Regards, Victoria L",1
75,Dear Abhitab; Thank you for reaching out to us at Northwestern Universitys MS in Analytics program,1
76," I apologize for the delay in my response time, due to applications we were unable to answer student inquiries",1
77," In regards to the application payment, we have received it and I see that it is now shown as paid",1
78, We use a third party to collect our application payments here at the university,1
79, We receive weekly reports on payment,1
80, Our system was a slightly overwhelmed during the final days of applications and there was a slow update on the site,1
81," However, we do have the time stamp of payment, prior to the deadline",1
82, Your transcripts were marked as received on 02/13,1
83," I apologize if this is not reflected in your student account, we are working to replace our application managing system due to technical errors this season",1
84," With regards to your GRE, did you us the 3672 code to send us your GRE score report",1
85," Typically, candidates will send it to the general Northwestern Account, which unfortunately goes to general admissions",1
86, Can you provide me with a scanned report from the GRE,1
87," Unfortunately, your letters of reference have still not arrived",1
88, Our policy is to have all material in before the deadline of 2/15,1
89," If your recommenders submit their letters I can attach them to your application packet, but we cannot guarantee the same amount of review as applications turned in by the deadline",1
91,Please use this link to navigate to our payment system,1
92, http://www,1
93,northwesternevents,1
94,com/profile/web/index,1
95,cfm,1
96,PKWebId=0x38395d20 Let me know if you have any additional questions,1
97, I will have your transcript uploaded shortly and you will see the change reflected in your account within 24hours,1
98,Dear Nancy; Thank you for submitting your transcripts to the Master of Science in Analytics at Northwestern University,1
99,Dear Pavithra; Thank you for submitting your transcripts to the Master of Science in Analytics at Northwestern University,1
100, I want to assure you we are uploading your transcripts into our system and your application is not considered late,1
101, I apologize for the delay in our response/upload time,1
102, Due to the number of applications we received in the past week we were delayed,1
103,Dear Shaojie; I apologize for my delayed response time and the confusion in our system,1
104, I want to assure you that your application is complete and was completed before the deadline,1
105, I am currently reconciling all accounts with anything missing and saw this correspondence,1
106, It appears there was a technical error in the save as we uploaded your transcript,1
107, Please know that your materials are not considered late,1
108, If you have any further inquiries about your application please let me know,1
109,Dear Shaojie; I have updated your application page with your TOEFL score,1
110, Please be sure to submit you application before the deadline,1
111," (Even if your recommender has not completed their recommendation, you can still submit your letter of recommendation after your submit your application",1
112,Dear Monika; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,1
114, Please email us a scanned copy of the transcript to this email account,1
115, We do not require official transcripts until admitted into the program,1
117, Official TOEFL scores are compulsory and should be sent to us via ETS at 3144,1
118," And If you chose to submit a GRE score, please send via 3672",1
128," Thank you for your inquiry about the program, we are looking forward to having your brother as a potential applicant for Fall 2014",1
129,"Dear Shengran, I have just received your ecopies for your transcripts",1
130, Please do not worry about sending the official transcripts,1
131, We use the unofficial transcripts to evaluate our applicants,1
132, We require official transcripts of students once we accept our applicants,1
133, I look forward to reviewing your application,1
134,Dear Cody; I apologize for the confusion,1
135, We have updated your account to reflect the receipt of your GRE score,1
136, Currently the only thing missing from your application is your payment for your processing fee and for you to submit,1
137," Have a wonderful weekend, I hope you enjoyed Chicago",1
144,Dera LeAnna; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University,1
145,"Dear LeAnna, I apologize for any confusion, that was a typo on my end confirming the submission of your GRE score",1
146, Please let me know if you have additional questions,1
147,I have emailed her with instructions for the Letter of Reference,1
149, From: Sumathi Chakravarthy ,1
150,Dear Sumathi; I apologize for the delay in my response time,1
151, Things in our office have been especially busy with applications,1
152, I would like to reassure you that we have received your letters of recommendation,1
153, We have made your application packet and it is being reviewed,1
154," In regards to a later email, I have attached your GMAT score to your application packet",1
169,Dear Shengran; Thank you for submitting your transcripts and additional materials to the Master of Science in Analytics at Northwestern University,1
170,I apologize for the mistake,1
171, I have marked the change on the online checklist,1
172, You should see that we have received both of your transcripts in our system,1
174,Dear Carlos; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University,1
175,"Dear Yunshi; Thank you for submitting your two remaining transcripts for UT Austin, and the University of Rochester to the Master of Science in Analytics at Northwestern University",1
185,Dear Richard; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,1
186, We can submit your application to the admissions committee before we receive all of your letters of reference,1
187,Dear Dinesh; Thank you for submitting your transcript and additional materials to the Master of Science in Analytics at Northwestern University,1
188,Dear Dinesh We have received your additional materials,1
189," Currently, 2 of your letters of reference are missing from your application",1
190, From: Dinesh M S ,1
191,Dear Vikrant; Thank you for reaching out to the MS in Analytics program at Northwestern University,1
192," Unfortunately, we have not received your application fee, did you receive a confirmation email of your payment",1
193, Please let me know if you have and I will contact our finance team to see why we havent received it in our system,1
194," In regards to your Transcript, we have received your email with you transcript",1
195," There is generally a delay with uploading transcripts to the MAP system, but we have received them and they will appear on your checklist soon",1
200,Dear Anmol; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University,1
201, You actually have 5 days to submit your application,1
220,Dear Frank; I have updated your application page and it now reflects the submission of your transcript from Cambridge,1
233,Dear Yuxi; It is not a problem if you mail the transcript from your Chinese university,1
234," Please be aware of the deadline, if you are able to scan us a copy of your transcript I recommend you doing that to make sure your materials arrive before the deadline of Feb 15th",1
235,Dear Vinay; Please email this address ,1
236,Dear Jasmine; Thank you for reaching out to us with your questions regarding your application with the Master of Science in Analytics program at Northwestern University,1
237, To answer your question regarding transcripts,1
238, We request that you email us a scanned PDF of your transcript,1
239, After you have been admitted to the program we request you send us your official transcript,1
240," However, we request official score reports for any supplementary materials",1
241," We will accept a scanned PDF of your GRE, and then verify with GRE the score",1
242, I hope this answers your question,1
243,"Dear Krushnan; I just saw this email also, please see below for answers to these questions; 1",1
244," To answer your question regarding financial support, we do not provide teaching or research assistant positions in our program",1
245, The Master of Science in Analytics offers a limited number of fellowships each year covering fifty percent (50%) of the tuition expenses,1
246," They are awarded during the application process to select students and are based on merit, no additional applications will need to be submitted for consideration",1
247," For more information in regards to financial aid and funding, I encourage you to explore those possibilities on our website, linked here <http://www",1
249,html> ,1
252,Dear Zhang; Thank you for submitting your transcripts and additional materials to the Master of Science in Analytics at Northwestern University,1
253,Dear Yunshi; Thank you for submitting your transcript for Jinan University to the Master of Science in Analytics at Northwestern University,1
254, I noticed we are still missing your transcript from Rochester University,1
255,"Dear Yunshi; Please provide us with the transcript of your online course, email me a pdf of it at this email address",1
256,Dear Govind; I have marked this note on your application page in our account,1
257, Thank you for bringing this error to our attention,1
258,"Dear Govind, I apologize for the confusion and run around with the TOEFL score",1
259, Once our applications commitments wind down I will find your TOEFL and attach it to the correct student file,1
260, I will mark that this was a clerical error and the PDF file you supplied will be sufficient for the application portion of your admissions requirement,1
261," Again, I apologize for the confusion",1
267,Dear Yang; To answer your question concerning the GRE; neither the GRE nor the GMAT are required for admission to the Master of Science in Analytics but we will accept scores from applicants who choose to provide them to us,1
268,"Dear Wanzhen, To answer your question, we do not require official transcripts to be mailed to our program until you have been accepted",1
269, We do request scanned copies of your transcript be emailed to this account which will then be uploaded into our MAP system,1
270,Dear Vivek; Thank you for emailing us your question concerning the MS in Analytics program at Northwestern University,1
271, I apologize for the delayed response time,1
272, You do not need to include the evaluation unless you believe it will strengthen your application,1
273,Dear Muyuan; Thank you for submitting your transcripts and GRE score report to the Master of Science in Analytics at Northwestern University,1
274,Dear Muyuan; We accept scanned transcripts for admissions review,1
275," Northwestern University will require you to submit an official sealed transcript from your university if you are accepted into our program, in order to matriculate you in our system",1
276," To answer your question, correct, you do not need to mail an official transcript before Feb 15th",1
277,"Dear Govind; Please email us both PDFs to this email address, ",1
278,Dear Xueying; Thank you for reaching out to us with your questions about your application with the MS in Analytics program at Northwestern University,1
279," To answer your question, that is an auto generated message sent to acknowledge candidates submitting their application",1
280, Students are able to submit their application at any time during this process and we include that as a reminder to those who have not provided us with their additional material as of yet,1
281," However, you have submitted everything and you are not required to mail us hard copies",1
282, I hope this answered your question and apologize for any confusion,1
287,Dear Geng: Thank you for submitting your GMAT and Transcript to the Master of Science in Analytics at Northwestern University,1
288,Dear Kunal; Thank you for mailing your transcript to the Master of Science in Analytics at Northwestern University,1
289, I apologize for the delay in us receiving your hard copy and you seeing it reflected in our system,1
290, We are at about a 3 week wait time with the number of hard copy transcripts being mailed in and loaded into our system,1
312,"Dear Luyao; I apologize, that was my mistake",1
313, Your GRE submission is exactly what we were looking for,1
314, I have marked your GRE as received in our system,1
315, Have a wonderful day,1
316,Dear Luyao: Thank you for submitting your transcript and GRE score report to the Master of Science in Analytics at Northwestern University,1
317,"Dear Jordan, Thank you for reaching out to us with your question about your application with Northwestern Universitys MS in Analytics program",1
318, You may go ahead and mark you application as complete,1
319, The only remaining aspects of your application will be completed by your recommenders and our office,1
320, We will confirm our receiving your transcript in a later email,1
321," Please let me know if you have any further questions, Victoria L",1
322,Dear Mouli; Please see the following for answers to your questions concerning your application with the MSiA program,1
323," I apologize for any delay in our response time, we have a University holiday for Martin Luther King Jr Day and our office was not open yesterday",1
324," We received payment for your application fee, we use a third party collection for application fees and therefore there is not an automatic reflection on your student MAP account",1
325, We have your transcripts and you are not required to send official copies until you are admitted to Northwestern University,1
326, You additional materials are all uploaded into our system and you are not required to send us official copies,1
327, We can verify with ETS after you are admitted into our program,1
328, Please let me know if you have any additional questions regarding your application status,1
329," Currently, you are regarded as having a complete application",1
330,Hello Mouli; Thank you for reaching out to us with your questions regarding GATS,1
331, We do not use the GATS system,1
332, We operate outside of the Graduate School (TGS) at Northwestern University,1
333, Since we are a professional master degree program we are housed within the Engineering School and operate entirely within the MAP system,1
334, You will receive notification via MAP and email of our final decision in regards to applications,1
335,Dear Aditi: Thank you for reaching out to me with your question with the admissions process at Northwestern Universitys MS,1
336, In Analytics program,1
337," In regards to your transcript, we would like you to scan a copy of your transcript to this email address",1
338, We will use your scanned copy to evaluate you as a candidate for our program,1
339," After you have been accepted to the program, we will require the official transcript be mailed to our office",1
340," At this point, it would be advantageous for you to email us a scanned copy of your transcript",1
341, Please let me know if you have any additional questions; Victoria L,1
342,Dear Ramakrishnan; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University,1
343,Dear Lan; Thank you for reaching out to Northwestern Universitys Master of Science in Analytics program,1
344," To answer your question, we ask for all applicants to email us scanned PDF files of your transcript",1
345, If you are unable to scan us your transcript please mail us your transcript and we will upload it to your application file,1
346," I hope this answers your question, please let me know if there is anything else I can assist you with",1
348,Dear Mouli; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University,1
349,Dear Niharika; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University,1
350,Dear Haad; Thank you for reaching out to us with your question concerning applications for the Northwestern University MS in Analytics program,1
351," To answer your question, we ask for applicants to submit a pdf scanned version of their transcript for our admissions committee to review",1
352," After you are accepted to our program, Northwestern requires the official transcript before you begin taking classes",1
353, For the application portion we only ask for a scanned PDF of your transcript,1
354, Please let me know if you require any additional assistance in your application process,1
355, Happy New Year and Good Luck in 2014 Victoria L,1
371,Dear Anand; Thank you for contacting us with your questions concerning your application status with the Master of Science in Analytics program at Northwestern University,1
372, I apologize for the delay in my response time to your inquiry and for the delay in updating your student account,1
373," We use a third party to collect application fees here at the University, and therefore there is always a delay in updating records",1
374, As of January 3rd we have received the following materials: Application Fee of $50 Transcript from PEC University of Technology Recommendations from: R,1
375,K,1
376," Mahajan, Mayank Khurana, and Filip Siska Additional Materials: GRE and TOEFL We look forward to reviewing your application materials",1
377,Dear Afsana; Thank you for contacting us with your questions concerning your application to the Master of Science in Analytics program at Northwestern University,1
378, I apologize in the delay in our response time,1
379," To answer your question, we only require scanned copies of your application documents in order to evaluate you as a candidate for our program",1
380," We ask you for you to email us (from your email address) a scanned PDF of your transcript, and any supplementary scores",1
381," If you are admitted to our program, we will require your official transcript for enrollment",1
382," I hope this answers your questions, please let me know if you are in need of further assistance during your application process",1
383,Dear Nikita; We do not require official transcripts or financial documents from our applicants,1
384," Once you are accepted to our program, Northwestern requires you to submit your official transcript in order to enter you into our system",1
385," However, you do not need to send us the original documents until that point",1
386, Application decisions are made on March 18th,1
387,Dear Zhi Li; Thank you for reaching out to us at the Master of Science in Analytics program at Northwestern University,1
388," To answer your question, we only require your scanned transcript for admissions",1
389, We do not require official transcripts until you are accepted to the program,1
391,Dear Ruijing; We will accept your printed GRE score from the ETS website,1
392," However, I do not see an attachment on this email",1
393, Please send me a scanned copy and I will update your student account when I receive your GRE score,1
394, Thank you,1
395,Dear Ruijing; Thank you for reaching out to us with your questions concerning your application with the MS in Analytics at Northwestern University,1
396, We have updated our application fee submissions this morning and your account should now reflect the payment,1
397," In regards to your GRE score, we do not have an institutional code for the GRE",1
398, We request students to scan their test scores into our office via email,1
399," If you send the scores to Northwestern or the Graduate School, we will not receive your test scores",1
400," To answer your question about our transcript policy, we require a scanned version to evaluate you as a candidate and only require a hard copy of your transcript after you are admitted",1
401, You can wait until you are accepted to our program to send in the official transcript from your university,1
402,Dear Anusha; Thank you for reaching out to us about your account,1
