"","sent","freq"
"36","We think it is and he really wants to study this field, but we hope to know your opinion before we begin application process",1
"37","Thank you very much for your help in advance",1
"38","Best, Stephanie -- Stephanie Kwon Snurr & Stair Research Group Dept",1
"39","of Chemical and Biological Engineering Northwestern University Evanston, IL 60208, USA Tel) 847-467-3252 .",1
"40","Dear Chen: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",1
"41","To answer your question, we do not require a TOEFL from you if your degree was issued by Purdue University",1
"42","As long as the degree granting institution uses English as the primary language your fluency requirement is satisfied",1
"43","We do not require Financial evidence upon applying",1
"44","If you believe the courses at a community college will help bolster your application, I encourage you to submit those transcripts",1
"45","Some students will supplement their undergraduate degree with quantitative classes or computer science classes and then include them in the application",1
"46","We are also scheduling an online information session for November 15th at Noon CT please fill out the registration of interest form if you would like to get more information about this session",7
"47","-----Original Message----- From: .",1
"48","Dear Fan: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"49","To answer your questions: 1",7
"50","We do not have any strict prerequisite courses, but we look for you to have taken calculus and statistics courses",2
"51","We are more focused on the quantitative background when we are evaluating transcripts",2
"52","In terms of computer science backgrounds, we provide a 2 week boot camp training session before our academic calendar begins",2
"53","This boot camp brings in industry trainers from SQL, Cognos, SPSS, SAS, and Tableau to train our students",2
"54","Some accepted students will enter the program with a background in Java and Python but it is not a requirement for applying",2
"56","I encourage you to supply your UNM transcript",2
"57","You can list it as a separate education experience in the online application",2
"58","When you do so, it will allow me to upload your transcript under the correct heading, as opposed to uploading it as other 3",2
"59","Your decision to take online courses in Coursera should be included in your resume or CV",2
"60","Many accepted students went that route to strengthen their application",2
"61","Any certification of your knowledge will help make you stand out against other applicants",2
"62","Both GRE and GMAT test scores are accepted by the program, but neither are required for admission (though sending scores from one of the two tests is strongly encouraged to strengthen the application)",173
"63","The admission for this program is very competitive and we do receive a lot of talented applicants, so industry experience, strong test scores, recommendations (a minimum of 3), and GPA are all taken into consideration",208
"64","There is no formal GMAT or GRE cutoff score, but we do require a GPA of 3.0 or higher for consideration and enrollment is limited to 32 talented students each year",241
"65","From: Fan Xiao .",2
"66","Hello Bella: We accept 32 students a year",1
"67","While this will undoubtedly mean that admission will be highly selective, it will also mean we can give appropriate attention to those who are admitted",2
"68","We are aiming to foster a collaborative atmosphere within the program and believe that a small cohort of exceptionally talented and strongly motivated students will best enable us to achieve this",2
"69","While we have many students enrolled in our program form CS and EE backgrounds we do not limit our admissions process to those academic majors",1
"70","We look to build a collaborative cohort each year with a variety of backgrounds and interests",1
"71","We have not had students in our program with a similar background to yours and I would be sure to mention that in your personal statement",1
"72","As an academic institution we are very interested in applying analytics in a wide variety of fields of interest",1
"73","I would not look at your background as weaker or negative, but unique",1
"74","Background by Industry Experience (though industry experience is not required for consideration): 34% None, 28% Consulting and Professional Services, 22% Information Technology, 6% Academia, 6% Finance, 4% Engineering Please let me know what other questions and concerns you have about applying to our program",1
"75","McCormick School of Engineering and Applied Science 2145 Sheridan Rd, E278 Evanston, IL 60208 T: 847.467.4520 F: 847.491.8005 www.analytics.northwestern.edu <http://www.analytics.northwestern.edu/> From: .",6
"76","Dear Weiwei: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"77","To answer your question, we will not require a TOEFL score as long as your degree will be granted by the English speaking University",2
"78","From: Weiwei Shang .",2
"79","Dear Justin: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",1
"80","If you are admitted, the program hosts a 2 week boot-camp where we have industry partners from SAS, SQL, tableau, etc",4
"81","come to campus for full-day instruction and informational sessions",8
"82","You are not required to have a mastery of these programs prior to entering the MSiA program",8
"83","-----Original Message----- From: Justin George Mattam .",1
"84","Dear Yuwen Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"85","We are so excited by your enthusiasm for data analytics and our program",2
"86","Unfortunately, we are currently in the process of moving into an exciting new space to accommodate our expanding program",2
"87","Due to the upcoming move we will not be able to accommodate on campus visits before the start of the new year",2
"88","I apologize for the inconvenience, we will be releasing images and information on our new space once construction and the move are complete",2
"89","Please note: I would be happy to address any concerns you may have via email, or we can schedule a call with our Associate Director, Lindsay Montanari",2
"90","For more information regarding our specific application requirements I encourage you to explore our program website at http://www.analytics.northwestern.edu/ and keep in touch on twitter .",21
"91","Dear Shiyoun: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"92","Either the GRE or GMAT test score is required for admission",40
"93","Admissions for this program is very competitive, we do receive a lot of talented applicants, so industry experience, strong test scores, recommendations (a minimum of 3), and GPA are all taken into consideration",33
"94","Dear Nischith: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"95","Unfortunately, the 3.0 GPA is a hard requirement in your undergraduate studies",2
"96","We received over 800 applications last year for our 32 class roster",2
"97","We will use the GPA as an initial evaluation tool to find the best candidate for our program",2
"98","Hello Amlan: To answer your question, we had 400 applicants last year",2
"99","And unfortunately we do not release the average GPA for the current students",2
"100","We require you have a 3.0 minimum GPA",2
"101","We accept 32 applicants out of the 400 students",2
"102","Please let me know if you have additional questions",3
"103","From: Amlan Limaye .",2
"104","Hello Jay: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"105","To answer your questions please see below: 1",8
"106","To answer your question, we only require a TOEFL or IELTS for international applicants who have not had English as their primary language of instruction, so, you would not be required to submit scores",22
"107","We accept scanned transcripts for the application process, and should you be accepted, it would be an acceptance contingent on receiving original transcripts from each of your degree-granting institutions",17
"108","From: .",6
"109","Dear You, Thank you for your call and consideration",1
"110","I apologize that we are unable to give you our decision on the phone this morning",1
"111","I have put in a request with our admissions committee and will let you know their decision promptly",1
"112","Thank you for your interest in our program",2
"114","Dear Hamed: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"115","To answer your question regarding financial support, we do not provide teaching or research assistant positions in our program",7
"116","The Master of Science in Analytics offers a limited number of fellowships each year covering fifty percent (50%) of the tuition expenses",8
"117","They are awarded during the application process to select students and are based on merit, no additional applications will need to be submitted for consideration",18
"118","For more information in regards to financial aid and funding, I encourage you to explore those possibilities on our website, linked here <http://www.analytics.northwestern.edu/prospective-students/tuition-and-fees.html> ",7
"119","Dear Naman, Unfortunately, the applications are in final review stage with our admissions committee and decisions will be announced on Monday, March 17th",1
"120","However, our applications will open again on Sept 1, 2014",1
"121","This will give you ample time to pull together your application packet for review",1
"122","I apologize for the bad news, but we will not be able to review your application for the 2014-2015 class",1
"123","Dear Ayushi: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",4
"124","[INSERT SPECIFIC QUESTION ANSWERS HERE] The Master of Science in Analytics degree from the McCormick School of Engineering and Applied Science is uniquely suited for either graduating seniors or individuals with industry experience who wish to prepare themselves for the demands of the 21st century job market",4
"125","We have many applicants from India interested in our course, therefore, we do not discriminate against your 3 year undergraduate degree",4
"126","Please use this link to navigate to our payment system",2
"127","http://www.northwesternevents.com/profile/web/index.cfm?PKWebId=0x38395d20 Let me know if you have any additional questions",2
"128","Dear Sumathi; I apologize for the delay in my response time",1
"129","Things in our office have been especially busy with applications",2
"130","I would like to reassure you that we have received your letters of recommendation",1
"131","We have made your application packet and it is being reviewed",2
"133","In regards to a later email, I have attached your GMAT score to your application packet",1
"134","Dear Sumathi; I apologize for not responding sooner, I had updated your application on March 3rd",1
"135","Dear Alok; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"136","To answer your questions, the MSiA program is full-time for 15 months (including a required summer industry-focused internship)",17
"137","There are no online courses or part-time options available for this particular intensive program",19
"138","Northwestern does, however, offer a Masters in Predictive Analytics through the School of Continuing Studies that can be done on-line while working",19
"139","You can find more information on that program here: http://www.scs.northwestern.edu/program-areas/graduate/predictive-analytics/ <http://www.scs.northwestern.edu/program-areas/graduate/predictive-analytics/> Both GRE and GMAT test scores are accepted by the program, but neither are required for admission (though sending scores from one of the two tests is strongly encouraged to strengthen the application)",3
"140","Background by Industry Experience (though industry experience is not required for consideration): 34% None, 28% Consulting and Professional Services, 22% Information Technology, 6% Academia, 6% Finance, 4% Engineering Applications will be accepted as early as September 2014",27
"142","Dear Akshata; Thank you for reaching out to us with your question regarding admissions decisions at Northwestern Universitys MS in Analytics program",1
"143","We will be releasing all decisions on March 18th",1
"144","We completely understand your circumstances as an international student",1
"145","Our International Office works with all International candidates to help the process of attending school here at Northwestern University",1
"146","Please let me know if you have any additional questions, Victoria L",20
"147","Dear Rahul; I apologize for the delay in my response time, we have been a little behind with emails due to applications",1
"148","We will be updating the website shortly with placement statistics, however, we had 100% of our students receive job offers before they graduated from our program",1
"149","Unfortunately, we have not heard back from all of our students and therefore our compensation median is not entirely reflective of everyone in the program",1
"150","We have a current median at $85,000",1
"151","Check our website in the next couple of weeks, we will be making updates to the website with our final numbers",1
"152","Please let me know if you have additional questions, Victoria L",2
"153","Dear Dillip, Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",1
"154","Currently, we are unable to accept students into a spring quarter",1
"155","We only accept students in the fall, due to the amount of group work and our 9month industry practicum project (which starts in the fall)",1
"156","We will open applications in Sept 2014",1
"157","Background by Industry Experience (though industry experience is not required for consideration): 34% None, 28% Consulting and Professional Services, 22% Information Technology, 6% Academia, 6% Finance, 4% Engineering Applications will be accepted as early as September",2
"158","Thank you for your inquiry about the program",3
"159","Dear Dinesh; I apologize for the delay in my response time",1
"160","I would like to reassure you that we have received your letters of recommendation (you have sent a separate email inquiring about this) and we had received your payment on time",1
"161","We use a third party to collect all of our application payments at the University and we receive weekly reports with the payments",1
"162","Unfortunately, our application managing system was a little overextended and was not updating with our changes",1
"163","I did note now that your page does reflect receipt of the payment",1
"164","Dear Aditi: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"165","To answer your question we primarily will evaluate candidates based on their quantitative background",2
"166","I see you have Statistics and Calculus on your transcripts",2
"167","Those are some of the key classes we look at to evaluate our applicants with",2
"168","We do not expect you to have experience in programing",2
"169","We provide a two-week boot camp where we have industry partners from SAS, SQL, tableau, etc",2
"170","We also include classes such as java as a foundation course in the first quarter",2
"171","We are also scheduling an online information session for November 15th at Noon CT please fill out the registration of interest <http://www.analytics.northwestern.edu/admission/Registration%20of%20Interest.html> form if you would like to get more information about this session",26
"172","From: aditi viswanath .",2
"173","Hello Steven: I just want to make sure I understand you question correctly",1
"174","What specifically are you referring to in your question",1
"175","Is this for a loan for financial support",1
"176","We do not require such evidence in our decision to give admittance to a candidate",1
"177","However, after acceptance if you wish to take out a loan then you will be required to provide such evidence",1
"178","Please let me know how I can further answer your question",1
"179","McCormick School of Engineering and Applied Science 2145 Sheridan Rd, E278 Evanston, IL 60208 T: 847.467.4520 F: 847.491.8005 www.analytics.northwestern.edu <http://www.analytics.northwestern.edu/> From: Jianhao Long .",1
"180","Dear Neerav; I apologize for the delay in my response time, I have checked your student account and the following three individuals have submitted letters of recommendation for you: Poonam Priyadarshini Nathan Pero Surajit Das Please kindly advise me as to which recommender is incorrect and how I can assist you, Victoria L",1
"181","Dear Tien: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"182","The Master of Science in Analytics program began with the 2012-2013 academic year; our first cohort is currently in their final stages and has not yet graduated",2
"183","We are unable to provide the specific information you have requested",2
"184","We will be looking to update the website with our students job placement information shortly",2
"185","This field is expanding exponentially and there are fantastic job opportunities available to graduates of the Master of Science in Analytics program",2
"186","Future job opportunities include: Lead analyst for a Fortune 500 firm, Statistical Modeling Analysts, Digital Strategy Analysts, Communications and Media Analysts, Systems Engineers, Consultants, or Entrepreneur",2
"187","Please check our website in the upcoming month after graduation for our statistics on job placements and companies our students received offers from",2
"188","We are also scheduling an online information session for January 17th at Noon CT please fill out the registration of interest <http://www.analytics.northwestern.edu/admission/Registration%20of%20Interest.html> form if you would like to get more information about this session",91
"189","McCormick School of Engineering and Applied Science 2145 Sheridan Rd, E278 Evanston, IL 60208 T: 847.467.4520 F: 847.491.8005 www.analytics.northwestern.edu <http://www.analytics.northwestern.edu/> From: ??",4
"190",".",18
"191","Dear Liu, With regard to your GRE score report, we request you provide us with either a PDF copy of your GRE score, or you send it via ETS",2
"192","Our code is 3672",4
"193","The difference between electronic and official copies applies strictly to your Transcript",3
"194","Applications will be accepted as early as September 16, 2013 for students entering in Fall 2014, and the deadline will be in February 15, 2014",57
"195","Dear Liu , With regard to your GRE score report, we request you provide us with either a PDF copy of your GRE score, or you send it via ETS",1
"196","Dear Yifan: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"197","To answer your question, we accept scanned copies of your transcript",2
"198","You do not need to send us an official transcript from your University",2
"199","You can send us the PDF to this email address",2
"200","Dear Shannon; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",1
"201","Test scores must be less than two years old at the date of matriculation (for the 2014-15 cohort, this will be September 23, 2014)",3
"202","The minimum acceptable score for the TOEFL is 85 (Internet based test) and for the IELTS, 7.0",3
"203","Our TOEFL code is 3144",4
"204","In regards to your work experience, we have students who come from 1year to 18years of work experience in our program (I have included a class breakdown in this email)",1
"205","Dear Skuntala, I have updated your GRE score and additional personal statement to your student account",1
"206","Our classes do not begin until the last week of September, for a more accurate Academic calendar I encourage you to look at Northwestern Universitys homepage, linked here <http://planitpurple.northwestern.edu/calendar/academic_calendar> ",1
"207","Hello Nitika; I will follow up on your GMAT score",1
"208","In regards to your TOEFL, did you send it to 3144",1
"209","This will specifically send your score to our department",1
"210","Otherwise, it will go to general admissions at the university and we will not be able to receive this score",1
"211","Please let me know if you used 3144",1
"212","Victoria",16
"213","From: Nitika Lal .",1
"214","Dear Bhaumik; Yes, your Proof Of Language PDF is listed as Other so our reviewers have access to it and it will be included in your application file",1
"215","From: Bhaumik Patel .",1
"216","Hello Mouli; Thank you for reaching out to us with your questions regarding GATS",1
"217","We do not use the GATS system",1
"218","We operate outside of the Graduate School (TGS) at Northwestern University",1
"219","Since we are a professional master degree program we are housed within the Engineering School and operate entirely within the MAP system",1
"220","You will receive notification via MAP and email of our final decision in regards to applications",1
"221","Dear Nitika; Thank you for submitting your transcripts and additional materials to the Master of Science in Analytics at Northwestern University",1
"222","I apologize for not responding to your inquiry earlier",1
"223","We have had a high volume of emails due to the upcoming deadline for applications and have been slow to respond to student inquiry",1
"224","You will not need to send an official transcript until you have been accepted into the program",1
"225","In regards to your TOEFL and GMAT scan; we have not yet received your scores but will include them in your application when they arrive",1
"226","Please note that we have marked your additional materials as received in your Student Checklist",1
"227","Dear Deepthi; Thank you for your response, I am glad that we were able to answer that for you",1
"228","Please let me know if you have any remaining questions",4
"229","Dear Ricky: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"230","To answer your question, we would be happy to accommodate a 15min phone call",2
"231","To address one of your comments, we are not currently accepting applicants outside of a Fall start date",2
"232","The next available admit would be Fall 2015",2
"233","I hope this will not discourage you from your interest in our program",2
"234","Due to industry related projects and the structure of our program we admit students in a cohort for 15month cycles",2
"235","Dear Nikita: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"236","Dear Achintya: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"237","Dear Jacob Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"238","To address your specific question, I would encourage you to obtain certificates and diversify your education by including courses as you suggested via coursera",2
"239","We see many applications come through our office and we will take into consideration any additional language skills you have (Java, C++, Ruby etc) which will make you the best candidate to go through our course",2
"240","Even if you find a couple of these specific areas redundant in our course structure, they will help you succeed with our industry based projects and advanced curriculum",2
"241","Below is more information about the admissions profile from our last applicant pool: Profile of the 2014 student cohort: total number of students: 32, Average age: 27, Gender mix: Male 69%, Female 31%, Nationality: US 62.5%, International 37.5%",10
"242","Background by Industry Experience (though industry experience is not required for consideration): 34% None, 28% Consulting and Professional Services, 22% Information Technology, 6% Academia, 6% Finance, 4% Engineering Applications will be accepted as early as September 1 and our application process is not rolling",2
"243","Thank you for your inquiry about the program, we are looking forward to having you as a potential applicant for Fall 2017",2
"244","Dear Sridevi: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"245","You have until January 15th to complete your testing",2
"246","With this time frame we will require you to complete one of the aforementioned test options",2
"247","Background by Industry Experience (though industry experience is not required for consideration): 34% None, 28% Consulting and Professional Services, 22% Information Technology, 6% Academia, 6% Finance, 4% Engineering Applications will be accepted as early as September 1, 2014 and our application process is not rolling",6
"248","From: Sridevi Dhamodharan .",2
"249","Dear Deepthi Sama; Thank you for supplying the website for your university, I will note this in your student account",1
"250","In regards to our application deadline, I believe there was some miscommunication for the deadline",1
"251","We do not have an early deadline associated with our application",1
"252","We ask for all of our applicants to turn in all of their material by February 15th",1
"253","Can you please provide me with the source of the December 31st deadline so that I may rectify that information",1
"254","You have until February 15th to submit your materials",1
"255","Please let me know if you have any further questions, and I apologize for the confusion around submission dates",1
"256","Hopefully I can resolve this inaccuracy",1
"257","Dear Samisksha; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"258","In regards to your additional questions, we are excited that so many of Northwesterns professional masters programs are interesting to you",2
"259","You are not limited to apply to one department or one program",2
"260","We encourage you to apply to the programs which best suit your needs and requirements",2
"261","We have separate admissions committees and therefore you will be required to fill out multiple applications, but we do not require you to only choose one program",2
"262","To answer your second question, we have filled all spots for our incoming class of 2014",2
"263","We will open our application system on September 1 and I encourage you to apply",2
"264","If you are interested in learning more about our career placement after the program, I will direct you to our webpage",2
"265","Please click here <http://www.analytics.northwestern.edu/current-students/career%20placement.html> to go to our employment statistics",2
"267","Dear Shikhar: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"268","You have asked a great deal of very informative questions",2
"269","With regards to the technical nature of our program, I would encourage you to evaluate our courses and skills on our curriculum page",2
"270","Each student will leave the program with a highly increased technical skill (ie Java, C++, Tableau, Ruby etc)",2
"271","Please look at our curriculum page <http://www.analytics.northwestern.edu/curriculum/index.html> for specifics",2
"272","Background by Industry Experience (though industry experience is not required for consideration): 34% None, 28% Consulting and Professional Services, 22% Information Technology, 6% Academia, 6% Finance, 4% Engineering We are proud to announce that out of the 29 graduates seeking jobs after graduating from our program we placed 97% within one month of graduation",2
"273","For more details regarding our Internship and Career placement please look on our Career page <http://www.analytics.northwestern.edu/current-students/career%20placement.html> on our website",2
"274","Applications will be accepted as early as September 1, 2014 and our application process is not rolling",2
"275","Dear Yuxuan: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"276","To answer your question, we will support our students in any direction they look to go with analytics",2
"277","We have had students intern and continue to work in startups, for more information on internship and career placement please look at our website <http://www.analytics.northwestern.edu/current-students/career%20placement.html> ",2
"278","We offer a couple classes which are focused on the entrepreneurial side of business, specifically NUVention, you can find out more information in the Northwestern course catalogue",2
"279","We have seen an increase in the number of applications we receive each year",2
"280","We accept 32 students at a little under a 10% acceptance rate",2
"281","Good Morning Andy, I hope you are having a wonderful summer, thank you for your interest in our program",1
"282","I would be happy to set up a phone call between you and the Associate director, Lindsay Montanari, next week",1
"283","The best times for her are in the afternoon after 1pm CDT",1
"284","Please let me know what your schedule looks like next week",1
"285","If you have any specific questions please feel free to email me and I will address those concerns before your conversation",1
"286","Warm Regards, Victoria L",11
"287","Dear Govind, I apologize for the confusion and run around with the TOEFL score",1
"288","Once our applications commitments wind down I will find your TOEFL and attach it to the correct student file",1
"289","I will mark that this was a clerical error and the PDF file you supplied will be sufficient for the application portion of your admissions requirement",1
"290","Again, I apologize for the confusion",1
"291","Dear Xiaotang; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University",1
"292","Dera LeAnna; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University",1
"293","Dear Lan, I can move your application into the complete file for you",2
"294","However, we will need your current TOEFL score",2
"295","If we decide to offer you a conditional acceptance we will reach out to you after we review your candidacy",2
"296","But we cannot complete/review your application without your TOEFL",2
"297","From: Prospective Student .",4
"298","Since we do not require the GRE we do not maintain a record of the average GRE score",2
"299","We encourage applicants to include their score if it will strengthen our understanding or your quantitative background",2
"300","Dear Tony: Thank you for submitting your transcript and GRE to the Master of Science in Analytics at Northwestern University",1
"301","Dear Carlos; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University",1
"302","Dear Rachan; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"303","To answer your question, we have received all three letters of reference for your application",2
"304","I apologize that our system will not allow you to view these updates",2
"306","Dear Amol; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",1
"307","To answer your question, we have received your application fee",11
"308","We use a third party to collect our application fees and there is a delay between the two systems",12
"309","We do not update the student checklists until the Monday of each week",9
"310","I have manually adjusted your account to show that you have paid",11
"311","Dear Amir; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"312","To answer your question, we currently have 28% of our students from Economics and Social Science backgrounds (I have included our full student profile below)",2
"313","Our students do have backgrounds in calculus, statistics, and programming",2
"314","Some of our students took courses offered by COURSERA (or similar programs) to supplement these courses on their transcripts",2
"315","Dear Monica: Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University",1
"316","Dear Tzu-Chien; Thank you for submitting your transcript to the Master of Science in Analytics at Northwestern University",1
"317","Dear Deependra; Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",1
"318","To answer your question, we understand that some of our students will find courses redundant to their current knowledge of the Analytics industry",1
"319","We allow students to take courses to supplement their redundant classes with the approval of our Program Director",1
"320","After proof of your current knowledge of the subject we will work with you to find a course offered by Northwestern which interests you",1
"321","We are a designated STEM program, for more information I encourage you to explore our International Office website at http://www.northwestern.edu/international/student/stem-opt.html Both GRE and GMAT test scores are accepted by the program, but neither are required for admission (though sending scores from one of the two tests is strongly encouraged to strengthen the application)",1
"322","We are also scheduling an online information session for January 17th at Noon CT please fill out the registration of interest form if you would like to get more information about this session",13
"323","Dear Wade; Yes even though it shows missing, you may select complete",1
"324","From: Wade Lee .",1
"325","Dear Dinesh We have received your additional materials",1
"326","Currently, 2 of your letters of reference are missing from your application",1
"327","From: Dinesh M S .",1
"328","Dear Ying; The Master of Science in Analytics program does not have an ETS code created yet",1
"329","We accept scanned versions of your GRE score",1
"330","Once I receive your additional material I will update your file",1
"331","You will be able to see the change in the MAP system",1
"332","Please let me know if there is anything else I can do for you, Victoria L",1
"333","Dear Xiang; Our ETS code for the GRE is 3762",1
"334","Unfortunately there is a 10 business day minimum for delivering GRE scores",4
"335","Can you send us an ecopy of your score in the form of a PDF",4
"336","Acknowledging your score on the ETS webpage",4
"337","Thank you, Victoria L",7
"338","Hello Siddartha: I hope you are having a wonderful weekend",1
"339","We have currently been pulling together all application materials at this time for our admissions committee to begin reviewing applications",5
"340","I wanted to reach out to you about your application",5
"341","You have listed your GRE scores (Verbal: 146, Quant: 161, Writing: 3) but you have not provided us with a copy of your scores",1
"342","I see below you have emailed us your ecopy of your IELTS score card",1
"343","If you would like us to consider your GRE scores please email us an ETS copy of your GRE report",5
"344","If you would like us to remove your reported scores, please let me know",5
"345","GRE is not required for application",5
"346","We look forward to reviewing your application, you will hear our decision on March 18th",1
"347","Dear Arun: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"348","If you have any specific questions, I would be happy to address them and provide you with more background",2
"349","I also encourage you to explore our new website at http://www.analytics.northwestern.edu <http://www.analytics.northwestern.edu> Both GRE and GMAT test scores are accepted by the program, but neither are required for admission (though sending scores from one of the two tests is strongly encouraged to strengthen the application)",1
"350","McCormick School of Engineering and Applied Science www.analytics.northwestern.edu <http://www.analytics.northwestern.edu/> From: Arun Suresh .",1
"351","Dear Prakhar: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"352","To answer your question about our scholarship options; we offer a limited number of fellowships to applicants",2
"353","These fellowships will pay for fifty percent (50%) of tuition costs for the 4 quarters you are taking classes on campus",2
"354","We determine who receives those fellowships solely on merit",2
"355","Your application to our program is the means that we evaluate candidates for fellowships",2
"356","There are additional funding opportunities at Northwestern University, but we do not have any input or control over those scholarships",2
"357","I have linked our page on Tuition and Fees <http://www.analytics.northwestern.edu/prospective-students/tuition-and-fees.html> from our website, which provides more contacts for tuition funding here at Northwestern",2
"358","Many applicants will provide their GRE scores as proof of their quantitative background, I would recommend you submit your scores if you believe it will strengthen your application",2
"359","From: prakhar .",2
"360","Dear Tarun: Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",2
"361","To answer your question both GRE and GMAT test scores are accepted by the program, but neither are required for admission (though sending scores from one of the two tests is strongly encouraged to strengthen the application)",2
"362","If you fear your GMAT score will affect our decision of your candidacy, you do not need to include it in your application",2
"363","In regards to your IELTS score, you may send us confirmation via email",2
"364","You do not need to send us a hard copy",2
"365","Dear Lan, Thank you for reaching out to us about the Master of Science in Analytics program at Northwestern University",3
"366","To answer your question, we have received your letters of recommendation and your transcript from University of Science & Technology Beijing",2
